# wl(um) fl(Wm-2um-1) error
1.98909731652 4.00973303215e-15 3.04194075199e-16
1.9976810974 3.93720326309e-15 3.07575792632e-16
2.00626487828 3.88347394608e-15 2.94332375876e-16
2.01484865916 3.90996166253e-15 2.7703311517e-16
2.02343244004 3.99642242036e-15 2.83144705084e-16
2.03201622093 4.01801954781e-15 2.90634999456e-16
2.04060000181 3.96419407384e-15 2.7652895193e-16
2.04918378269 4.00374380689e-15 2.72340798315e-16
2.05776756357 3.98467353208e-15 2.63662727869e-16
2.06635134445 4.04394053436e-15 2.69798801816e-16
2.07493512533 4.15139432572e-15 2.75199392226e-16
2.08351890621 4.20514917719e-15 2.69863196945e-16
2.0921026871 4.20701209655e-15 2.6260512192e-16
2.10068646798 4.30635000237e-15 2.72267581312e-16
2.10927024886 4.39259274952e-15 2.68063784465e-16
2.11785402974 4.40750284004e-15 2.64356801964e-16
2.12643781062 4.52850009143e-15 2.7472360133e-16
2.1350215915 nan nan
2.14360537239 nan nan
2.15218915327 nan nan
2.16077293415 nan nan
2.16935671503 nan nan
2.17794049591 nan nan
2.18652427679 nan nan
2.19510805767 nan nan
2.10741350457 nan nan
2.11544052974 nan nan
2.12346755491 nan nan
2.13149458008 4.49045685688e-15 2.33350550161e-16
2.13952160525 4.60919670593e-15 2.40187750943e-16
2.14754863043 4.63648507524e-15 2.31098711577e-16
2.1555756556 4.70240305551e-15 2.2934006991e-16
2.16360268077 4.72612078678e-15 2.2257987623e-16
2.17162970594 4.78474781068e-15 2.25364955464e-16
2.17965673111 4.80069706379e-15 2.24462111753e-16
2.18768375628 4.87480174445e-15 2.27181294659e-16
2.19571078145 4.99124194165e-15 2.38302446378e-16
2.20373780662 5.00179842961e-15 2.36458789866e-16
2.2117648318 4.94691858033e-15 2.32821947724e-16
2.21979185697 4.92134656528e-15 2.30770144083e-16
2.22781888214 4.93425667239e-15 2.32515895365e-16
2.23584590731 4.96593433667e-15 2.31760842461e-16
2.24387293248 4.96332587733e-15 2.27910874201e-16
2.25189995765 4.94501512418e-15 2.2837242623e-16
2.25992698282 4.93078619319e-15 2.32133302748e-16
2.26795400799 4.94651613944e-15 2.39446268376e-16
2.27598103317 4.91587236029e-15 2.36146521723e-16
2.28400805834 4.87255747584e-15 2.42954686805e-16
2.29203508351 4.72641965952e-15 2.4603426728e-16
2.30006210868 4.58009855442e-15 2.45299742145e-16
2.30808913385 4.55951628344e-15 2.41849222371e-16
2.31611615902 4.46414413037e-15 2.39937310053e-16
2.32414318419 4.33955143832e-15 2.44895709869e-16
2.33217020936 4.29330559296e-15 2.40945668509e-16
2.34019723454 4.41214316049e-15 2.28630049957e-16
2.34822425971 4.39210933028e-15 2.29271520138e-16
2.35625128488 4.25768654432e-15 2.25945843681e-16
2.36427831005 4.17147053769e-15 2.27510672518e-16
2.37230533522 4.22337215409e-15 2.30745633984e-16
2.38033236039 nan nan
2.38835938556 nan nan
2.39638641073 nan nan
